<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USDRUB_TOM,D,2012-02-14,000000,30.0246,30.1174,29.945,30.0025,4932424000,0
USDRUB_TOM,D,2012-02-15,000000,29.9899,30.08,29.9101,30.01,4602813000,0
USDRUB_TOM,D,2012-02-16,000000,30.17,30.3496,30.17,30.247,5110902000,0
USDRUB_TOM,D,2012-02-17,000000,30.05,30.05,29.835,29.907,4114462000,0
USDRUB_TOM,D,2012-02-20,000000,30.11,30.11,29.7004,29.785,3854384000,0
USDRUB_TOM,D,2012-02-21,000000,29.5878,29.86,29.5878,29.8125,5831927000,0
USDRUB_TOM,D,2012-02-22,000000,29.7608,29.8149,29.6606,29.68,5071473000,0
USDRUB_TOM,D,2012-02-24,000000,29.75,29.75,29.1817,29.185,5562065000,0
USDRUB_TOM,D,2012-02-27,000000,29.185,29.2093,28.9501,29.035,7456100000,0
USDRUB_TOM,D,2012-02-28,000000,28.991,29.13,28.8375,29.044,5664518000,0
USDRUB_TOM,D,2012-02-29,000000,28.98,29.1375,28.9675,29.07,5333543000,0
USDRUB_TOM,D,2012-03-01,000000,29.0031,29.375,29.0031,29.2705,5407157000,0
USDRUB_TOM,D,2012-03-02,000000,29.35,29.375,29.1935,29.275,4763472000,0
USDRUB_TOM,D,2012-03-05,000000,29.2999,29.3895,29.2068,29.34,4297126000,0
USDRUB_TOM,D,2012-03-06,000000,29.1242,29.695,29.1242,29.635,6005466000,0
USDRUB_TOM,D,2012-03-07,000000,29.4,29.7874,29.4,29.69,4892464000,0
