Date	High	Low	Open	Volume	Close	Dividend
03/19/2014	66023.08	65406.86	65566.77	0	65487.07	
03/18/2014	65727.72	64137.35	64313.4	0	65573.5	
03/17/2014	64311.15	63761.05	63761.05	0	64197.78	
03/14/2014	63558.32	62825.47	63015.65	0	63278.93	
03/13/2014	64126.72	63338.7	63452.84	0	63345.36	
03/12/2014	63331.85	62139.6	62296.97	0	63258.61	
03/11/2014	63329.33	62571.72	62943.95	0	63065.64	
03/10/2014	63280.98	62401.13	62791.03	0	62731.5	
03/07/2014	64145.36	62902.42	64077.95	0	63095.99	
03/06/2014	64174.18	63494.34	63824.89	0	64004.2	
03/05/2014	63909.36	63129.03	63150.56	0	63444.72	
03/04/2014	63097.01	62034.95	62034.95	0	63030.66	
03/03/2014	61706.17	61166.36	61654.54	0	61189.15	
02/28/2014	62949.78	62020.77	62020.77	0	62553.32	
02/27/2014	62007.01	61141.72	61178.33	0	61779.24	
02/26/2014	62677.24	61465.77	62335.58	0	61503.04	
02/25/2014	62639.68	61894.53	62478.75	0	62123.84	
02/24/2014	64377.31	63664.41	64036.67	0	64185.96	
02/21/2014	64113.73	63440.68	63899.88	0	63885.62	
02/20/2014	63791.91	62705.15	63020.51	0	63681.01	
02/19/2014	64144.94	63049.85	63988.3	0	63382.13	
02/18/2014	65632.86	64125.72	65632.86	0	64125.72	
02/17/2014	65915.73	65437.15	65437.15	0	65599.17	
02/14/2014	64997.09	64025.64	64109.97	0	64882.91	
02/13/2014	64206.03	63698.06	64206.03	0	63764.95	
02/12/2014	65048.25	64469.97	64818.07	0	64513.72	
02/11/2014	64822.09	64055.51	64383.67	0	64280.69	
02/10/2014	64368.06	63572.24	64350.89	0	64050.16	
02/07/2014	64924.31	64042.76	64616.2	0	64614.34	
02/06/2014	64549.87	62700.84	62734.33	0	64549.87	
02/05/2014	63394.02	62405.19	62839.48	0	62442.45	
02/04/2014	62792.25	60848.52	61311.37	0	62732.73	
02/03/2014	62421.23	61529.81	62165.85	0	61675.17	
01/31/2014	62666.61	61425.64	62666.61	0	61858.21	
01/30/2014	62819.17	60898.3	62210.46	0	62701.39	
01/29/2014	65326.19	60753.53	64777.12	0	62088.7	
01/28/2014	65546.61	63498.08	65310.37	0	63543.7	
01/27/2014	65355.59	63380.16	64360.15	0	64568.74	
01/24/2014	65779.06	63271.64	65747.67	0	64427.52	
01/23/2014	67333.66	65429.29	66935.34	0	65429.29	
01/22/2014	67450.72	66708.24	67007.61	0	67367.27	
01/21/2014	67185.87	65997.9	66247.74	0	66318.69	
01/20/2014	66091.58	64841.51	64926.24	0	65763.63	
01/17/2014	67211.12	65635.03	67160.95	0	65635.03	
01/16/2014	67630.45	66745.88	67074.61	0	66843.58	
01/15/2014	68542.71	67557.76	68070.46	0	68134.63	
01/14/2014	68072.51	66885.15	67137.74	0	68072.51	
01/13/2014	68691.29	67943.21	68389.73	0	68062.29	
01/10/2014	67912.11	66479.2	66870.1	0	67912.11	
01/09/2014	67331.7	66021.59	66713.02	0	66413.59	
01/08/2014	68959.19	67199.2	68445.56	0	67331.7	
01/07/2014	68949.54	67283.99	67651.57	0	68598.61	
01/06/2014	68299.03	65742.31	66281.5	0	68021.99	
01/03/2014	67353.71	65429.54	67151.3	0	65967.14	
01/02/2014	67367.44	65825.76	67367.44	0	66985.82	
12/31/2013	68705.24	66478.61	68210.33	0	67801.73	
12/30/2013	67985.7	64925.97	65292.37	0	67985.7	
12/27/2013	64366.82	61150.17	64290.46	0	63885.22	
12/26/2013	66886.21	64160.48	66381.72	0	64555.2	
12/25/2013	69880.15	66096.57	69322.56	0	66096.57	
12/24/2013	69364.82	68014.2	68193.27	0	68997.82	
12/23/2013	70234.04	67473.45	70138.95	0	68086.14	
