"","date","BTC","XRP","ETH","XLM","BCH","EOS","LTC","USDT"
"2018-08-10","2018-08-10",6184.71,0.320426,334.18,0.22543,572.44,5.28,59.39,1
"2018-08-11","2018-08-11",6295.73,0.301262,322.11,0.217665,566.77,5.02,58.36,1.01
"2018-08-12","2018-08-12",6322.69,0.29787,319.57,0.223601,570.96,5.01,59.33,1
"2018-08-13","2018-08-13",6297.57,0.277466,286.5,0.223559,535.98,4.62,56.85,1
"2018-08-14","2018-08-14",6199.71,0.274272,278.93,0.216706,509.31,4.58,54.56,0.997543
"2018-08-15","2018-08-15",6308.52,0.282005,282.36,0.216954,513.67,4.64,54.5,1
"2018-08-16","2018-08-16",6334.73,0.292436,288.05,0.216032,517.35,4.52,55.36,1
"2018-08-17","2018-08-17",6580.63,0.366676,315.73,0.23812,597.01,5.51,61.51,0.997761
"2018-08-18","2018-08-18",6423.76,0.3271,295.81,0.224235,554.92,5.1,57.28,1
"2018-08-19","2018-08-19",6506.07,0.343978,300.83,0.222723,569.93,5.31,57.94,1
"2018-08-20","2018-08-20",6308.53,0.319283,274.31,0.216457,515.66,4.76,54,1.01
"2018-08-21","2018-08-21",6488.76,0.335177,281.94,0.214708,536.57,4.91,56.35,1
"2018-08-22","2018-08-22",6376.71,0.319803,271.34,0.206896,519.95,4.72,55.32,1
"2018-08-23","2018-08-23",6534.88,0.327709,277.1,0.222162,530.77,4.92,57.54,0.998976
"2018-08-24","2018-08-24",6719.96,0.327606,282.97,0.219806,535.4,5.05,57.93,1
"2018-08-25","2018-08-25",6763.19,0.32823,279.65,0.217795,537.24,5.05,57.91,1
"2018-08-26","2018-08-26",6707.26,0.323776,275.2,0.21484,522.88,4.95,57.33,0.999227
"2018-08-27","2018-08-27",6884.64,0.336903,285.6,0.225437,546.36,5.36,60.25,0.997802
"2018-08-28","2018-08-28",7096.28,0.351837,296.5,0.234745,565.31,5.9,63.02,0.999395
"2018-08-29","2018-08-29",7047.16,0.344803,289.31,0.226211,554.37,6.12,61.77,1
"2018-08-30","2018-08-30",6978.23,0.335444,284.11,0.220902,540.02,6.08,60.32,1
"2018-08-31","2018-08-31",7037.58,0.335332,283,0.222076,543.08,6.43,61.93,1
"2018-09-01","2018-09-01",7193.25,0.347721,295.34,0.229722,615.31,6.64,65.95,0.996813
"2018-09-02","2018-09-02",7272.72,0.342523,294.37,0.224744,645.88,6.6,65.65,0.997839
"2018-09-03","2018-09-03",7260.06,0.335961,289.26,0.225325,626.36,6.47,65.37,0.998642
"2018-09-04","2018-09-04",7361.66,0.331652,285.72,0.231268,625.07,6.48,67.71,0.999517
"2018-09-05","2018-09-05",6792.83,0.283601,232.33,0.207437,530.51,5.22,58.44,1.01
"2018-09-06","2018-09-06",6529.17,0.30271,230.22,0.207484,519.16,5.24,57.49,1
"2018-09-07","2018-09-07",6467.07,0.291435,217.2,0.207662,501.57,5.09,56.2,1.01
"2018-09-08","2018-09-08",6225.98,0.279333,197.95,0.194437,475.29,4.76,53.24,1
"2018-09-09","2018-09-09",6300.86,0.27868,196.92,0.192781,481.19,4.97,54.92,1
"2018-09-10","2018-09-10",6329.7,0.270321,197.08,0.190839,465.59,5.04,54.6,1
"2018-09-11","2018-09-11",6321.2,0.26371,185.07,0.201071,440.83,4.98,52.37,1
"2018-09-12","2018-09-12",6351.8,0.270087,183.33,0.198293,432.85,4.94,51.66,1
"2018-09-13","2018-09-13",6517.31,0.280583,211.35,0.207806,464.44,5.39,54.54,1.01
"2018-09-14","2018-09-14",6512.71,0.277159,211.75,0.201743,449.5,5.27,56.58,1
"2018-09-15","2018-09-15",6543.2,0.282008,223.07,0.203202,450.68,5.4,56.71,1
"2018-09-16","2018-09-16",6517.18,0.281166,220.59,0.20651,449.16,5.42,56.97,1
"2018-09-17","2018-09-17",6281.2,0.272251,197.88,0.196827,420.45,4.89,52.54,1
"2018-09-18","2018-09-18",6371.3,0.32186,209.97,0.208417,435.68,5.1,54.1,1
"2018-09-19","2018-09-19",6398.54,0.326053,209.97,0.206563,429.23,5.23,54.33,1
"2018-09-20","2018-09-20",6519.67,0.449918,224.59,0.231897,455.74,5.74,56.63,1
"2018-09-21","2018-09-21",6734.95,0.561462,246.58,0.249211,499.04,6.14,60.72,0.994428
"2018-09-22","2018-09-22",6721.98,0.570798,240.48,0.239225,487.83,5.93,60.44,1
"2018-09-23","2018-09-23",6710.63,0.570689,244.33,0.281478,488.65,6.02,61.37,0.999512
"2018-09-24","2018-09-24",6595.41,0.494712,228.73,0.259048,463.09,5.68,57.97,1
"2018-09-25","2018-09-25",6446.47,0.526941,218.5,0.252306,445.23,5.38,57.54,1
"2018-09-26","2018-09-26",6495,0.516308,215.85,0.244767,515.93,5.55,57.4,1
"2018-09-27","2018-09-27",6676.75,0.541381,228.49,0.259216,564.41,5.82,62.98,0.997107
"2018-09-28","2018-09-28",6644.13,0.539112,222.4,0.254127,539.86,5.77,61.9,1
"2018-09-29","2018-09-29",6601.96,0.571228,231.63,0.253908,536.91,5.76,61.61,0.999602
"2018-09-30","2018-09-30",6625.56,0.581572,232.85,0.259599,529.92,5.72,61.14,1
"2018-10-01","2018-10-01",6589.62,0.576461,230.77,0.258404,530.91,5.74,60.21,0.997925
"2018-10-02","2018-10-02",6556.1,0.520837,227.18,0.248286,533.26,5.65,59.71,0.999741
"2018-10-03","2018-10-03",6502.59,0.528162,220.49,0.241136,514.52,5.62,57.48,0.998569
"2018-10-04","2018-10-04",6576.69,0.526606,222.22,0.244278,513.03,5.78,58.28,0.996185
"2018-10-05","2018-10-05",6622.48,0.519026,227.6,0.245192,520.63,5.81,58.77,0.995778
"2018-10-06","2018-10-06",6588.31,0.488082,225.12,0.239771,508.62,5.73,57.84,0.997177
"2018-10-07","2018-10-07",6602.95,0.482039,226.12,0.245138,517.47,5.76,58.16,0.996617
"2018-10-08","2018-10-08",6652.23,0.489751,229.25,0.249009,528.98,5.91,59.41,0.995814
"2018-10-09","2018-10-09",6642.64,0.479857,227.98,0.243915,517.79,5.91,58.71,0.996779
"2018-10-10","2018-10-10",6585.53,0.462387,225.77,0.241593,512.92,5.88,57.98,0.993502
"2018-10-11","2018-10-11",6256.24,0.38313,189.5,0.207037,433.04,5.08,51.23,0.993026
"2018-10-12","2018-10-12",6274.58,0.419115,196.73,0.216032,443.23,5.18,53.55,0.994102
"2018-10-13","2018-10-13",6285.99,0.418878,199.84,0.21481,448.41,5.25,53.45,0.988046
"2018-10-14","2018-10-14",6290.93,0.403286,195.72,0.210144,439.23,5.17,52.19,0.98957
"2018-10-15","2018-10-15",6596.54,0.447316,209.7,0.223001,459.38,5.47,54.88,0.980138
"2018-10-16","2018-10-16",6596.11,0.470253,210.12,0.227978,458.01,5.44,54.07,0.975152
"2018-10-17","2018-10-17",6544.43,0.468197,207.08,0.240403,448.79,5.41,53.67,0.971225
"2018-10-18","2018-10-18",6476.71,0.457725,203.35,0.239452,438.43,5.35,52.53,0.980858
"2018-10-19","2018-10-19",6465.41,0.454178,203.73,0.242853,440.85,5.33,53.02,0.987712
"2018-10-20","2018-10-20",6489.19,0.459151,205.43,0.244182,447.44,5.37,53.36,0.983831
"2018-10-21","2018-10-21",6482.35,0.456694,205.14,0.241724,447.85,5.42,52.92,0.983548
"2018-10-22","2018-10-22",6487.16,0.453109,204.04,0.242361,447.21,5.38,52.2,0.983998
"2018-10-23","2018-10-23",6475.74,0.462058,204.34,0.242215,442.65,5.42,52.54,0.987962
"2018-10-24","2018-10-24",6495.84,0.457237,203.85,0.23776,442.45,5.38,52.52,0.988612
"2018-10-25","2018-10-25",6476.29,0.458052,202.72,0.235646,440.23,5.37,52.23,0.988791
"2018-10-26","2018-10-26",6474.75,0.459288,203.33,0.234011,438.74,5.39,52.1,0.989789
"2018-10-27","2018-10-27",6480.38,0.456348,204.21,0.22876,437.53,5.38,51.93,0.993097
"2018-10-28","2018-10-28",6486.39,0.462406,205.37,0.232871,441.08,5.43,51.94,0.998453
"2018-10-29","2018-10-29",6332.63,0.441514,197.25,0.222357,417.57,5.15,49.07,0.996859
"2018-10-30","2018-10-30",6334.27,0.444759,197.56,0.225093,421.93,5.14,49.24,0.996671
"2018-10-31","2018-10-31",6317.61,0.448382,197.38,0.223471,422.86,5.2,49.44,0.988122
"2018-11-01","2018-11-01",6377.78,0.455722,198.87,0.222945,424.09,5.28,50.27,0.99172
"2018-11-02","2018-11-02",6388.44,0.458685,200.63,0.234244,462.01,5.36,51.33,0.993501
"2018-11-03","2018-11-03",6361.26,0.455667,200.19,0.235706,477.99,5.31,50.97,0.999433
"2018-11-04","2018-11-04",6376.13,0.462691,207.49,0.241638,560.18,5.45,53.61,0.988708
"2018-11-05","2018-11-05",6419.66,0.497412,209.09,0.246529,558.47,5.47,53.55,0.993176
"2018-11-06","2018-11-06",6461.01,0.54908,218.45,0.265596,628.51,5.73,55.95,0.992796
"2018-11-07","2018-11-07",6530.14,0.535707,217.18,0.256718,617.25,5.65,54.19,0.99327
"2018-11-08","2018-11-08",6453.72,0.493508,212.23,0.256043,574.43,5.5,52.37,0.994333
"2018-11-09","2018-11-09",6385.62,0.500668,210.07,0.255542,544.42,5.38,51.9,0.994832
"2018-11-10","2018-11-10",6409.22,0.506698,212.53,0.26123,556.5,5.42,52.4,0.99718
"2018-11-11","2018-11-11",6411.27,0.505913,211.34,0.273605,533.34,5.44,51.36,0.990462
"2018-11-12","2018-11-12",6371.27,0.517165,210.42,0.267326,516.31,5.4,50.65,0.989148
"2018-11-13","2018-11-13",6359.49,0.510112,206.83,0.257787,512.41,5.23,49.7,0.985118
"2018-11-14","2018-11-14",5738.35,0.474372,181.4,0.233043,439.31,4.64,43.61,0.966644
"2018-11-15","2018-11-15",5648.03,0.481708,180.81,0.241944,421.32,4.69,43.95,0.982022
"2018-11-16","2018-11-16",5575.55,0.471609,175.18,0.23885,388.82,4.55,42.46,0.987027
"2018-11-17","2018-11-17",5554.33,0.491654,174,0.244927,387.75,4.57,41.93,0.985869
"2018-11-18","2018-11-18",5623.54,0.510473,177.07,0.249758,386.25,4.59,42.33,0.992533
"2018-11-19","2018-11-19",4871.49,0.478166,149.18,0.224412,336.95,4.08,36.64,0.98273
"2018-11-20","2018-11-20",4451.87,0.434726,130.34,0.193193,223.7,3.71,33.04,0.968799
"2018-11-21","2018-11-21",4602.17,0.447651,136.7,0.203688,235.95,3.81,34.67,0.987504
"2018-11-22","2018-11-22",4365.94,0.42608,126.71,0.187797,211.47,3.55,32.2,0.998188
"2018-11-23","2018-11-23",4347.11,0.407428,123.3,0.181211,207.43,3.6,32.16,0.98257
"2018-11-24","2018-11-24",3880.76,0.375336,113.49,0.154205,180.69,3.26,29.22,0.980224
"2018-11-25","2018-11-25",4009.97,0.374551,116.45,0.159607,184.58,3.35,30.89,0.980969
"2018-11-26","2018-11-26",3779.13,0.355451,108.33,0.144795,182.04,3.18,29.41,0.977243
"2018-11-27","2018-11-27",3820.72,0.360163,110.01,0.144374,179.06,3.03,31.07,0.98426
"2018-11-28","2018-11-28",4257.42,0.390557,122.44,0.162237,190.07,3.28,34.63,0.998622
"2018-11-29","2018-11-29",4278.85,0.379562,117.54,0.16508,180.98,3.02,33.8,0.997377
