"","date","BTC","ETH","XRP","BCH","LTC","ADA","NEO","XLM","EOS","DASH","XMR","MIOTA","XEM","ETC","TRX","VEN","LSK","USDT"
"2018-02-07","2018-02-07",7621.3,757.07,0.723895,957.96,138.2,0.340447,102.5,0.342125,7.61,521.99,207.28,1.6,0.536718,18.16,0.032746,3.87,18.31,1
"2018-02-08","2018-02-08",8265.59,817.81,0.805263,1284.56,149.47,0.356584,112.43,0.363565,8.51,605,247.22,1.78,0.543094,21.79,0.036725,4.28,23.09,1.02
"2018-02-09","2018-02-09",8736.98,883.87,0.954428,1312.11,163.95,0.391602,117.57,0.401068,9.65,637.82,260.43,1.96,0.590486,26,0.047968,4.66,27.25,1
"2018-02-10","2018-02-10",8621.9,860.41,1.07,1257.31,155.59,0.405872,110.63,0.406856,9.1,634.1,250.03,1.86,0.590511,24.52,0.048699,4.4,27.26,1
"2018-02-11","2018-02-11",8129.97,814.66,1,1217.64,148.99,0.369769,103.4,0.370005,8.41,580.02,229.49,1.7,0.52864,24.13,0.042401,3.97,25.28,0.999251
"2018-02-12","2018-02-12",8926.57,868.71,1.08,1283.91,161.57,0.384315,113.25,0.395649,9.18,620.56,247.57,1.87,0.557894,29.88,0.046116,4.31,28.12,1
"2018-02-13","2018-02-13",8598.31,845.26,1.03,1231.98,159.55,0.373314,111.17,0.410614,9.21,595.47,234.69,1.81,0.533186,33.96,0.043356,4.2,26,1
"2018-02-14","2018-02-14",9494.63,923.56,1.14,1362.27,213.36,0.396908,122.52,0.453888,9.97,678.98,276.66,2.03,0.570005,35.04,0.045936,5,28.28,1
"2018-02-15","2018-02-15",10166.4,936.98,1.15,1375.81,225.43,0.409368,123.29,0.453556,10.17,703.86,303.25,2.13,0.561359,34.53,0.046496,5.98,31.37,1.01
"2018-02-16","2018-02-16",10233.9,944.21,1.14,1552.2,230.12,0.40381,128.85,0.455446,10.02,698.86,296.48,2.1,0.568887,35.03,0.052449,5.69,32.01,1
"2018-02-17","2018-02-17",11112.7,974.12,1.2,1551.39,229.47,0.419883,136.75,0.479075,10.15,742.16,325.67,2.2,0.59888,34.99,0.054914,5.99,33.22,1
"2018-02-18","2018-02-18",10551.8,923.92,1.12,1487.46,215.74,0.385618,127.38,0.450399,9.38,689.28,300.12,1.98,0.530407,34.88,0.049606,5.35,29.69,1.01
"2018-02-19","2018-02-19",11225.3,943.87,1.14,1534.77,223.06,0.391472,137.47,0.452932,9.68,728.73,316.49,2.09,0.529261,39.29,0.051542,6.46,30.37,1
